Stkcd,Trdyear,year_return,overnight_return,intraday_return,year_return_rf,overnight_return_rf,intraday_return_rf,size,BM,ILLIQ,turnover,ESG_score,E_score,S_score,G_score
601179,2019,0.0921912204652291,0.0482001490169732,0.0419681980483528,0.0771912204652291,0.0332001490169732,0.0269681980483528,16.74179691599379,1.0646,0.033135,0.5533000100000001,15.7025,6.9767,12.2807,39.2857
601179,2020,0.2788864665436883,-0.3747852627121015,1.0455155489317698,0.2638864665436883,-0.3897852627121015,1.0305155489317699,16.978041091307194,0.9285,0.015517,3.19272012,15.7025,6.9767,12.2807,39.2857
601186,2011,-0.4326887728843454,-0.2984058615784761,-0.1913968546088258,-0.4676887728843454,-0.33340586157847607,-0.2263968546088258,17.45208490203043,1.0378,0.010013,1.34710809,28.5124,15.5039,33.3333,53.5714
601186,2012,0.5818429237947103,-0.0564942315176255,0.676558826279464,0.5518429237947102,-0.0864942315176255,0.6465588262794639,17.889573516729428,1.0015,0.014936,0.54094677,29.3388,17.0543,33.3333,53.5714
601186,2013,-0.1811888083241153,0.2239627432695217,-0.3310162452423778,-0.2111888083241153,0.1939627432695217,-0.36101624524237785,17.665151465369004,1.0396,0.011331,0.5986350500000001,26.8595,12.4031,33.3333,53.5714
601186,2014,2.340054032419447,0.627245037196406,1.0525820980066127,2.312554032419447,0.599745037196406,1.0250820980066127,18.869119809957766,0.8968,0.007819,1.71375473,26.0331,13.1783,33.3333,48.2143
601186,2015,-0.1088884228816217,-0.341794326189796,0.3538497350834646,-0.1238884228816217,-0.356794326189796,0.3388497350834646,18.745091889585616,0.9444,0.001725,4.22157373,26.0331,13.1783,33.3333,48.2143
601186,2016,-0.0981484749922251,-0.2440963075134,0.1930772848073652,-0.11314847499222509,-0.2590963075134,0.17807728480736518,18.73970751943143,0.985,0.004649,1.3165651600000001,29.3388,15.5039,33.3333,57.1429
601186,2017,-0.0572853082335391,-0.1763809134241325,0.1446003463636638,-0.0722853082335391,-0.1913809134241325,0.1296003463636638,18.668682005408083,1.029,0.001624,1.1001814699999999,37.1901,28.6822,42.1053,51.7857
601186,2018,-0.0030743984657664,-0.2077645346007094,0.2583703268469297,-0.0180743984657664,-0.22276453460070939,0.24337032684692966,18.644146472082053,1.0583,0.004048,0.9368421100000001,40.4959,33.3333,45.614,51.7857
601186,2019,-0.0475671066070378,0.1735939520085552,-0.1884476809352032,-0.06256710660703779,0.1585939520085552,-0.2034476809352032,18.574627769071984,1.1079,0.001938,1.4604866300000001,39.2562,33.3333,40.3509,51.7857
601186,2020,-0.2023425299323263,-0.072841157371578,-0.1396754974515716,-0.21734252993232628,-0.087841157371578,-0.1546754974515716,18.325002530381923,1.1637,0.002109,1.37131822,39.2562,33.3333,40.3509,51.7857
601188,2011,-0.2901362361426473,-0.3193644915224384,0.0429425955827234,-0.3251362361426473,-0.35436449152243843,0.007942595582723394,14.275551429592129,0.9135,0.134863,1.9302486099999998,19.8347,10.0775,17.5439,44.6429
601188,2012,0.0548003198645279,-0.3082269493287973,0.5247779872909111,0.024800319864527902,-0.33822694932879727,0.49477798729091105,14.324897303040647,0.9255,0.196202,1.6134558,15.7025,2.3256,17.5439,44.6429
601188,2013,-0.1299500535140918,-0.2545246922172476,0.1671076659449355,-0.1599500535140918,-0.28452469221724763,0.1371076659449355,14.858922984166172,1.0407,0.153555,1.05369838,20.6612,6.9767,22.807,50.0
601188,2014,0.9582778062532018,-0.2546276577972193,1.6272477463625157,0.9307778062532018,-0.2821276577972193,1.5997477463625156,15.510624756550726,0.6452,0.090391,2.56380013,19.4215,6.9767,22.807,44.6429
601188,2015,0.3052923624561572,-0.5134919221244503,1.6829818903645344,0.2902923624561572,-0.5284919221244503,1.6679818903645345,15.763175737480848,0.5641,0.028543,5.87635944,19.0083,6.9767,21.0526,44.6429
601188,2016,-0.0453779827551658,-0.3959844733066324,0.580459400556862,-0.0603779827551658,-0.4109844733066324,0.565459400556862,15.783794176726657,0.6171,0.041059,1.70028528,19.0083,6.9767,21.0526,44.6429
601188,2017,-0.2314785640767108,-0.009863084898637,-0.2238230650711423,-0.24647856407671082,-0.024863084898637,-0.23882306507114232,15.50586827823016,0.778,0.052142,1.3325546700000002,19.0083,6.9767,21.0526,44.6429
601188,2018,-0.264711509552573,-0.3416997108092827,0.1169499733189494,-0.279711509552573,-0.3566997108092827,0.1019499733189494,15.175204383628438,1.0861,0.143687,0.44525917,19.0083,6.9767,21.0526,44.6429
601188,2019,0.0457586796520701,-0.2175429117027395,0.3365061104217144,0.030758679652070103,-0.2325429117027395,0.3215061104217144,15.198577734822221,1.1512,0.071562,1.18989155,19.0083,6.9767,21.0526,44.6429
601188,2020,-0.0529982582732019,-0.2677458447852352,0.293269194831746,-0.0679982582732019,-0.28274584478523523,0.278269194831746,15.086963750951455,1.2774,0.097253,0.9337931899999999,19.0083,6.9767,21.0526,44.6429
601199,2012,-0.0776722417234503,-0.3115455451865978,0.3397077349532693,-0.1076722417234503,-0.34154554518659785,0.3097077349532693,13.803213336115576,0.8672,0.099141,5.50323755,22.7273,6.9767,28.0702,53.5714
601199,2013,0.1845826648259383,-0.3349499900212944,0.781193364486785,0.1545826648259383,-0.36494999002129436,0.751193364486785,13.954813882146706,0.8533,0.057219,7.19125936,21.4876,6.9767,22.807,53.5714
601199,2014,0.3489353660073053,-0.0897825799866494,0.481992473828422,0.32143536600730527,-0.1172825799866494,0.45449247382842195,15.314001714044913,0.5747,0.037623,4.04863706,21.4876,6.9767,22.807,53.5714
601199,2015,1.0044132069303684,-0.0444476686078172,1.0976488059110845,0.9894132069303684,-0.0594476686078172,1.0826488059110846,16.00243561015276,0.347,0.032356,4.11882769,20.6612,6.9767,22.807,50.0
601199,2016,-0.18039165433767,-0.3380156742368652,0.2381083868073259,-0.19539165433766997,-0.3530156742368652,0.22310838680732592,15.79233663649093,0.4943,0.019378,3.9266314799999997,20.6612,6.9767,22.807,50.0
601199,2017,-0.2577605321507744,-0.1295002121754811,-0.1473410123347995,-0.2727605321507744,-0.1445002121754811,-0.16234101233479947,15.478406678468279,0.6551,0.022061,1.60099551,20.6612,6.9767,22.807,50.0
601199,2018,-0.3572700637674496,-0.1316332519808526,-0.2598404560069836,-0.3722700637674496,-0.14663325198085259,-0.2748404560069836,15.018283331541246,0.8909,0.098196,0.7442883899999999,20.6612,6.9767,22.807,50.0
